,Time,Number of Humans,Number of Zombies,Alert Level
1383,191000.3723753597,152.41658265673104,405.6789865395409,Alert
1384,191173.17237535972,151.82916156962474,405.95620373188854,Alert
1385,191345.9723753597,151.24360458126588,406.2325406612794,Alert
1386,191518.77237535972,150.65990885630117,406.5079986723691,Alert
1387,191691.5723753597,150.07807153903158,406.78257911937766,Alert
1388,191864.37237535973,149.4980897536303,407.05628336598636,Alert
1389,192037.17237535972,148.91996060435977,407.3291127852356,Alert
1390,192209.97237535974,148.34368117578833,407.6010687594227,Alert
1391,192382.77237535972,147.7692485330061,407.8721526799996,Alert
1392,192555.57237535974,147.19665972184015,408.142365947472,Alert
1393,192728.37237535973,146.62591176906903,408.4117099712976,Alert
1394,192901.17237535975,146.05700168263664,408.68018616978543,Alert
1395,193073.97237535974,145.4899264518654,408.9477959699951,Alert
1396,193246.77237535975,144.92468304766862,409.2145408076368,Alert
1397,193419.57237535974,144.3612684227624,409.48042212697123,Alert
1398,193592.37237535976,143.79967951187646,409.7454413807102,Alert
1399,193937.9723753597,143.23991323196452,410.0096000299171,Caution
1400,194283.57237535974,142.6819664824139,410.2728995439085,Caution
1401,194629.1723753597,142.12583614525428,410.53534140015523,Caution
1402,194974.77237535972,141.57151908536576,410.79692708418446,Caution
1403,195320.37237535967,141.01901215068622,411.05765808948183,Caution
1404,195665.9723753597,140.46831217241785,411.31753591739397,Caution
1405,196011.57237535965,139.9194159652329,411.5765620770315,Caution
1406,196357.1723753597,139.37232032747875,411.8347380851724,Caution
1407,196702.77237535964,138.827022041382,412.0920654661654,Caution
1408,197048.37237535958,138.28351787325207,412.34854575183454,Caution
1409,197393.97237535962,137.74180457368368,412.6041804813829,Caution
1410,197739.57237535957,137.2018788777588,412.85897120129806,Caution
1411,198085.1723753596,136.66373750524752,413.11291946525694,Caution
1412,198430.77237535955,136.12737716080844,413.3660268340314,Caution
1413,198776.37237535958,135.59279453418787,413.6182948753943,Caution
1414,199121.97237535953,135.05998630041853,413.86972516402585,Caution
1415,199467.57237535957,134.5289491200172,414.1203192814202,Caution
1416,199813.1723753595,133.9996796391816,414.37007881579297,Caution
1417,200158.77237535955,133.47217448998654,414.61900536198823,Caution
1418,200504.3723753595,132.94643029057897,414.86710052138704,Caution
1419,200849.97237535953,132.4224436453724,415.1143659018154,Caution
1420,201195.57237535948,131.90021114524038,415.36080311745314,Caution
1421,201541.1723753595,131.3797293677091,415.60641378874317,Caution
1422,201886.77237535946,130.8609948771492,415.85119954230095,Caution
1423,202232.3723753595,130.3440042249666,416.09516201082454,Caution
1424,202577.97237535944,129.82875394979246,416.33830283300495,Caution
1425,202923.57237535948,129.31524057767245,416.5806236534371,Caution
1426,203269.17237535943,128.80346062225485,416.8221261225309,Caution
1427,203614.77237535946,128.29341058497795,417.0628118964231,Caution
1428,203960.3723753594,127.78508695525653,417.3026826368892,Caution
1429,204305.97237535944,127.27848621066738,417.5417400112561,Caution
1430,204651.5723753594,126.77360481713396,417.779985692315,Caution
1431,204997.17237535943,126.27043922911015,418.01742135823474,Caution
1432,205342.77237535937,125.76898588976314,418.2540486924757,Caution
1433,205688.3723753594,125.26924123115532,418.4898693837039,Caution
1434,206033.97237535936,124.77120167442528,418.7248851257057,Caution
1435,206379.5723753594,124.27486362996798,418.95909761730314,Caution
